date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
23:04:2013,100800.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,127197.0,1203.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Baker Memorial Library,Dartmouth College,Dartmouth College"
24:04:2013,72433.0,10800.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,154835.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College"
25:04:2013,73997.0,1200.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,84297.0,2400.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library"
26:05:2013,80400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College"
27:04:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,69279.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:03:2013,86182.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
28:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:05:2013,85203.0,2397.0,1200.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Sudikoff Hall,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,75529.0,7196.0,3673.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Baker Memorial Library,Baker Memorial Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,66001.0,3600.0,1199.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,75603.0,4800.0,0.0,2399.0,0.0,1199.0,2,1.0,11700.0,28,"Dartmouth College,The Church of Christ at Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,91197.0,4802.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Berry Library,Berry Library,Dartmouth College"
30:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
31:03:2013,94801.0,5999.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Baker Memorial Library,Berry Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
31:05:2013,95407.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College"
