date,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
27:04:2013,87600.0,2400.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Goldstein Hall,Thomas Hall"
27:05:2013,101700.0,0.0,600.0,0.0,0.0,598.0,0,0.0,0.0,53,"Thomas Hall,Goldstein Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall"
28:03:2013,62434.0,5997.0,8368.0,0.0,0.0,0.0,3,0.0,0.0,53,"Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dana Circle Parking Lot,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall"
28:04:2013,78601.0,2400.0,1799.0,0.0,2400.0,0.0,-1,0.0,0.0,53,"Goldstein Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Thomas Hall,Thomas Hall,Dartmouth College,Alpha Theta,Collis Student Center,Collis Student Center,Dartmouth College"
28:05:2013,69599.0,601.0,599.0,0.0,0.0,0.0,1,0.0,0.0,53,"Goldstein Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,0,Thomas Hall,Thomas Hall,Thomas Hall"
29:03:2013,77929.0,8398.0,1201.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,79125.0,4800.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,22801.0,55200.0,0.0,0.0,0.0,5399.0,2,0.0,0.0,53,"Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Winfred-Raven House,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Thomas Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall,Thomas Hall,Goldstein Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium"
30:03:2013,75601.0,9599.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Chinese Language House,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,78076.0,5999.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Thomas Hall,Goldstein Hall,Thomas Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall"
30:05:2013,46813.0,0.0,23997.0,0.0,0.0,21395.0,3,0.0,0.0,53,"Alumni Gymnasium,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Goldstein Hall,Dartmouth College,Dartmouth College,Maynard Parking Lot,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Thomas Hall,Goldstein Hall,Thomas Hall,Thomas Hall"
31:03:2013,86749.0,13200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Kemeny Hall,Dartmouth College"
31:05:2013,86403.0,1801.0,598.0,0.0,0.0,0.0,4,0.0,0.0,53,"Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Native American House Parking Lot,Thomas Hall,Thomas Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Native American House,Thomas Hall"
