date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
22:04:2013,79199.0,0.0,8400.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College"
22:05:2013,66000.0,0.0,34800.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,"Class of 1953 Commons,Class of 1953 Commons,Ripley Hall,Ripley Hall,Sarner Underground,Sarner Underground,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
23:04:2013,60008.0,4799.0,18000.0,0.0,2393.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Observatory Road,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall"
23:05:2013,170768.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,42,"Ripley Hall,Dartmouth College"
24:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
25:04:2013,74324.0,0.0,4799.0,0.0,0.0,1200.0,0.0,3,1.0,6900.0,42,"Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Sarner Underground,Sarner Underground,0,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,94477.0,3600.0,1201.0,0.0,0.0,1199.0,0.0,5,0.0,0.0,42,"Dartmouth College,Sudikoff Hall,0,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
26:04:2013,60899.0,21676.0,5025.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College"
26:05:2013,49199.0,0.0,9600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,The Lodge"
27:03:2013,0.0,0.0,150305.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,Sudikoff Hall
