date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
11:04:2013,85117.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall"
11:05:2013,82774.0,3600.0,6089.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,47,"Haldeman Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Nugget Arcade,USPS,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,French Hall"
12:04:2013,51691.0,0.0,27600.0,7192.0,1200.0,0.0,0.0,4,0.0,6000.0,47,"French Hall,Baker Memorial Library,Baker Memorial Library,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,French Hall,French Hall,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Baker Memorial Library,Baker Memorial Library,Haldeman Center"
12:05:2013,61201.0,0.0,11999.0,1200.0,2402.0,2398.0,0.0,-1,0.0,0.0,47,"French Hall,Baker Memorial Library,Baker Memorial Library,0,0,The Arthur L. Irving Institute for Energy & Society,French Hall,French Hall,Dartmouth College,Dartmouth College,French Hall"
13:04:2013,70826.0,0.0,18000.0,0.0,1174.0,0.0,0.0,5,0.0,0.0,47,"0,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Channing Cox Parking Lot,French Hall,French Hall"
13:05:2013,81600.0,0.0,4757.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,47,"French Hall,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall,French Hall,French Hall,0"
14:04:2013,86072.0,0.0,0.0,3887.0,0.0,0.0,0.0,-1,0.0,0.0,47,"French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,French Hall"
14:05:2013,70900.0,3600.0,7143.0,3600.0,0.0,0.0,0.0,1,0.0,0.0,47,"0,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Hanover High School,Co-Op Food Stores - Hanover,Co-Op Food Stores - Hanover,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Carpenter Hall,Berry Library,Baker Memorial Library,Dartmouth College,Dartmouth College,French Hall"
15:04:2013,44444.0,2400.0,7241.0,25156.0,0.0,0.0,0.0,0,0.0,7800.0,47,"French Hall,Carpenter Hall,Carpenter Hall,Berry Library,Carpenter Hall,Berry Library,Carpenter Hall,Carpenter Hall,Dartmouth College,Berry Library,Blunt Alumni Center,French Hall,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Collis Student Center,Buskey Alley,0,0"
15:05:2013,97282.0,0.0,3519.0,2399.0,0.0,0.0,0.0,2,1.0,7800.0,47,"French Hall,Dartmouth College,0,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Judge Hall,French Hall,French Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College"
