,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14370,19,6.742327138874017,0.0056186059490616,4.682171624218067e-06,3,29,False,0.0,20.0
14371,19,31.575817325961964,0.0289420873748505,2.6528036090605464e-05,3,48,True,1.0,19.0
14372,19,9.939158062702026,0.0075813562644561,5.782880445809428e-06,4,9,False,0.0,21.0
14373,19,589.8546102051508,0.4927774521346289,0.0004116770694524,4,29,True,1.0,20.0
14374,19,24.24520574681897,0.020153953239251,1.6753078336867013e-05,4,49,True,1.0,20.0
14375,19,17.87195281597249,0.0148932940133104,1.2411078344425342e-05,5,29,False,0.0,40.0
14376,19,215.67239963380808,0.17972699969484,0.0001497724997457,5,49,True,1.0,20.0
14377,19,722.876636651391,0.6023971972094925,0.0005019976643412,6,9,True,1.0,20.0
14378,19,2.113843569729837,0.0017615363081081,1.467946923423498e-06,6,49,False,0.0,40.0
14379,19,29.90953089182632,0.0249246090765219,2.077050756376828e-05,7,9,True,1.0,20.0
14380,19,83.37324918326878,0.0694777076527239,5.789808971060332e-05,10,49,True,1.0,20.0
14381,19,22.574152342049043,0.0187961301765604,1.5650399813955375e-05,17,9,True,1.0,20.0
14382,19,185.4995381826679,0.1545829484855565,0.0001288191237379,19,49,True,1.0,20.0
14383,19,413.83834452970046,0.3448652871080837,0.0002873877392567,20,9,True,1.0,20.0
14384,19,2.347240694806039,0.0019560339123383,1.6300282602819718e-06,20,49,False,0.0,40.0
14385,19,788.7562681959256,0.6572968901632713,0.0005477474084693,21,9,True,1.0,20.0
14386,19,15.153641696462309,0.0126280347470519,1.0523362289209936e-05,22,9,False,0.0,60.0
14387,19,234.18260865258935,0.1951521738771578,0.0001626268115642,22,29,True,1.0,20.0
14388,19,0.9608382653421318,0.0008006985544517,6.672487953764803e-07,23,9,False,0.0,40.0
14389,19,326.3824730596009,0.2724394599829724,0.0002274119031577,23,29,True,1.0,20.0
14390,19,395.4922649462754,0.329028506610878,0.0002737341985115,23,49,True,1.0,20.0
14391,19,788.2273942168124,0.6568561618473436,0.0005473801348727,0,9,True,1.0,20.0
14392,19,608.4746564191877,0.5083330462984024,0.0004246725532985,6,9,True,1.0,20.0
14393,19,171.06381868934872,0.1421976880210712,0.0001182025669335,6,29,True,1.0,20.0
14394,19,2.85514603217632,0.0023792883601469,1.9827403001224443e-06,6,49,False,0.0,20.0
14395,19,111.99559840301411,0.0930969230282744,7.738730093788397e-05,7,10,True,1.0,21.0
14396,19,7.590812079262324,0.0063256767327186,5.271397277265503e-06,7,49,False,0.0,39.0
14397,19,33.822323898211245,0.0281618017470534,2.3448627599544955e-05,8,9,True,1.0,20.0
14398,19,29.53960520683947,0.0245958411380844,2.047946805835511e-05,12,29,True,1.0,20.0
14399,19,621.3941068797957,0.5182603059881532,0.000432243791483,12,49,True,1.0,20.0
14400,19,591.2230234548981,0.4926858528790818,0.0004105715440659,20,9,True,1.0,20.0
14401,19,8.208484084724665,0.006851823109119,5.719384899097734e-06,21,9,False,0.0,60.0
14402,19,604.5241420066361,0.5041902769029493,0.0004205089882426,21,29,True,1.0,20.0
14403,19,217.573382608496,0.1813111521737467,0.0001510926268114,23,9,True,1.0,20.0
14404,19,1.098088096334617,0.0009150734136121,7.625611780101506e-07,23,49,False,0.0,40.0
14405,19,529.572437185665,0.4398442169316154,0.0003653191170528,0,10,True,1.0,21.0
14406,19,104.05960447042727,0.0870063582528656,7.274779118132578e-05,0,29,True,1.0,19.0
14407,19,2.3609303499697907,0.0019674419583081,1.639534965256799e-06,0,49,False,0.0,20.0
14408,19,24.02110434037515,0.0200009195173814,1.665355496867733e-05,1,9,True,1.0,20.0
14409,19,30.11560634113605,0.0250963386176133,2.0913615514677812e-05,2,49,True,1.0,20.0
14410,19,202.59992393016728,0.168833269941806,0.0001406943916181,3,9,True,1.0,20.0
14411,19,3.390378183093562,0.0028253151525779,2.3544292938149737e-06,4,9,False,0.0,60.0
14412,19,545.0882600228998,0.4534844093368551,0.0003772748829757,4,30,True,1.0,21.0
14413,19,25.298012820645383,0.0210992600672605,1.759738120705633e-05,4,49,True,1.0,19.0
14414,19,10.13018939087988,0.0084418244923999,7.034853743666583e-06,5,29,False,0.0,40.0
14415,19,554.5185137482841,0.4620987614569034,0.000385082301214,5,49,True,1.0,20.0
14416,19,88.98730839863434,0.0741560903321952,6.179674194349606e-05,6,9,True,1.0,20.0
14417,19,3.541379852465824,0.0029511498770548,2.4592915642123776e-06,6,49,False,0.0,40.0
14418,19,39.10613332785128,0.032588444439876,2.715703703323005e-05,7,9,True,1.0,20.0
14419,19,50.91062714023536,0.0424255226168628,3.5354602180719007e-05,9,29,True,1.0,20.0
14420,19,578.4299900031662,0.4820249916693051,0.0004016874930577,20,9,True,1.0,20.0
14421,19,6.204401588548756,0.0051703346571239,4.308612214269969e-06,20,29,False,0.0,20.0
14422,19,549.1781526773669,0.50016225198303,0.0004555211766694,20,48,True,1.0,19.0
14423,19,37.91323318968829,0.0291192267201907,2.236499748094524e-05,21,9,True,1.0,21.0
14424,19,4.049236475656822,0.003374363729714,2.811969774761682e-06,22,9,False,0.0,60.0
14425,19,73.36679068100469,0.0611389922341705,5.094916019514215e-05,22,29,True,1.0,20.0
14426,19,0.2058938863641398,0.0001715782386367,1.429818655306527e-07,23,9,False,0.0,40.0
14427,19,200.2515741226748,0.166737363965591,0.0001388321098797,23,29,True,1.0,20.0
14428,19,135.86177732273467,0.1133125749147078,9.45059006794894e-05,23,49,True,1.0,20.0
14429,19,2.209922159479259,0.001841601799566,1.5346681663050407e-06,0,9,False,0.0,20.0
14430,19,603.988771061282,0.5033239758844017,0.0004194366465703,0,29,True,1.0,20.0
14431,19,0.6176956145288869,0.0005147463454407,4.289552878672826e-07,1,9,False,0.0,40.0
14432,19,616.5897015012457,0.5138247512510381,0.0004281872927091,1,29,True,1.0,20.0
14433,19,602.2593110967873,0.501464871854111,0.0004175394436753,19,29,True,1.0,20.0
14434,19,4.268962075878478,0.0035574683965653,2.964556997137832e-06,20,9,False,0.0,40.0
14435,19,606.5419255813669,0.505451604651139,0.0004212096705426,20,29,True,1.0,20.0
14436,19,250.20840816940645,0.2092043546566943,0.0001749200289771,7,29,True,1.0,20.0
14437,19,271.9976907608906,0.1130027797095515,4.694756115893293e-05,8,10,True,1.0,41.0
14438,19,504.8148689425113,0.4199790922982623,0.0003494002431765,10,50,True,1.0,21.0
14439,19,20.005967696546534,0.0166855443674283,1.3916217153818438e-05,15,49,True,1.0,20.0
14440,19,582.0812098623587,0.4850676748852989,0.0004042230624044,20,9,True,1.0,20.0
14441,19,5.421988437635602,0.0045183236980296,3.765269748358057e-06,20,29,False,0.0,20.0
14442,19,267.19964971947303,0.2226663747662275,0.0001855553123051,20,49,True,1.0,20.0
14443,19,530.2864294318447,0.4415374100181887,0.000367641473787,21,9,True,1.0,20.0
14444,19,4.41980742101169,0.003683172850843,3.069310709035896e-06,21,49,False,0.0,40.0
