date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
22:04:2013,70792.0,16800.0,0.0,0.0,0.0,0,1.0,11700.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,82800.0,600.0,0.0,0.0,0.0,2,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
23:04:2013,98396.0,13212.0,0.0,0.0,0.0,1,1.0,3900.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,75601.0,9600.0,1199.0,0.0,0.0,3,1.0,7800.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Floren Varsity House,Leverone Field House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,65970.0,1203.0,0.0,0.0,0.0,2,1.0,11700.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,98753.0,10800.0,0.0,600.0,0.0,4,1.0,9000.0,2,"Hopkins Center for the Arts,Dartmouth College,White Mountains Insurance Group,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
25:04:2013,19198.0,1199.0,60001.0,0.0,0.0,3,0.0,7800.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Hopkins Center for the Arts"
25:05:2013,58385.0,599.0,600.0,0.0,1200.0,5,0.0,0.0,2,"Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,74404.0,15600.0,0.0,0.0,1196.0,4,1.0,9000.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
26:05:2013,76800.0,13200.0,0.0,0.0,0.0,-1,0.0,0.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
27:03:2013,2402.0,0.0,10798.0,0.0,0.0,2,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
27:04:2013,87600.0,1200.0,13200.0,0.0,0.0,5,0.0,0.0,2,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,92978.0,6623.0,1199.0,0.0,0.0,0,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
28:03:2013,85201.0,2400.0,0.0,0.0,0.0,3,1.0,7800.0,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
28:04:2013,144001.0,1200.0,0.0,0.0,0.0,-1,0.0,0.0,2,"0,Dartmouth College"
28:05:2013,70199.0,0.0,601.0,0.0,0.0,1,1.0,3900.0,2,"Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,64800.0,15599.0,4800.0,0.0,0.0,4,1.0,9000.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,5999.0,1200.0,0.0,0.0,0.0,0,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
29:05:2013,18599.0,0.0,17401.0,4200.0,0.0,2,0.0,11700.0,2,"Dartmouth Co-Op,Dartmouth Co-Op,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
30:03:2013,84001.0,8400.0,2400.0,0.0,0.0,5,0.0,0.0,2,"Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,78000.0,13200.0,0.0,0.0,0.0,1,1.0,3900.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
31:03:2013,121199.0,0.0,0.0,2400.0,0.0,-1,0.0,0.0,2,"0,Ledyard Bridge,Ledyard Bridge,0,Dartmouth College"
