date,home_time,recreational_activities,school_time,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
16:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall"
16:05:2013,76800.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College"
17:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,169201.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Ripley Hall"
18:04:2013,80400.0,0.0,1200.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,19199.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,Dartmouth College
19:04:2013,86401.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
19:05:2013,144510.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Hopkins Center for the Arts,Ripley Hall,Dartmouth College"
20:04:2013,106803.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
20:05:2013,10800.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,76796.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Ripley Hall"
21:05:2013,158400.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall"
22:04:2013,75600.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,13200.0,0.0,1200.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,102000.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College"
