date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
13:05:2013,63600.0,0.0,0.0,2400.0,0.0,0.0,0,1.0,7800.0,11,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,88800.0,1200.0,0.0,6000.0,0.0,0.0,-1,0.0,0.0,11,"Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
14:05:2013,84000.0,0.0,0.0,1200.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
15:04:2013,62400.0,1200.0,0.0,1200.0,0.0,0.0,0,1.0,7800.0,11,"Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,64803.0,21598.0,0.0,1200.0,0.0,0.0,2,0.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,82804.0,0.0,0.0,2396.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Berry Library,Berry Library"
16:05:2013,79913.0,1199.0,0.0,6000.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Remsen Medical Sciences Building,Berry Library,Berry Library"
17:04:2013,84000.0,2400.0,0.0,1200.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,70799.0,0.0,0.0,14401.0,0.0,0.0,4,1.0,6000.0,11,"Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
18:04:2013,74402.0,5998.0,0.0,4800.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Berry Library,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
18:05:2013,79200.0,0.0,0.0,13200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
19:04:2013,81600.0,1200.0,0.0,4800.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Library,Berry Library,Dartmouth College,Dartmouth College"
19:05:2013,63601.0,0.0,0.0,16799.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
20:04:2013,78001.0,0.0,0.0,14399.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College"
20:05:2013,84810.0,0.0,0.0,7200.0,0.0,0.0,0,1.0,7800.0,11,"Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,80400.0,9600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,11,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
21:05:2013,74401.0,2399.0,0.0,3600.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
22:04:2013,70770.0,0.0,0.0,4800.0,0.0,1230.0,0,1.0,7800.0,11,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Park,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
