date,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
24:05:2013,24439.0,0.0,0.0,8400.0,56400.0,0.0,0.0,4,0.0,0.0,31,"New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College"
25:04:2013,63602.0,0.0,4799.0,1200.0,0.0,7199.0,0.0,3,0.0,0.0,31,"Dartmouth College,Dartmouth College,New Hampshire Hall,Beta Alpha Omega,Phi Delta Alpha,Phi Delta Alpha,Beta Alpha Omega,Alpha Phi,New Hampshire Hall,0,Bartlett Hall,New Hampshire Hall,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
25:05:2013,67200.0,0.0,0.0,8400.0,9600.0,0.0,0.0,5,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,0,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts"
26:04:2013,77927.0,0.0,1186.0,0.0,8267.0,0.0,0.0,4,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,70800.0,0.0,1200.0,4800.0,0.0,8400.0,0.0,-1,0.0,0.0,31,"Dartmouth College,Dartmouth College,New Hampshire Hall,South Block Parking Garage,South Block Parking Garage,0,Sanborn House,Chi Delta,Phi Delta Alpha,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College"
27:04:2013,70456.0,6339.0,3600.0,2401.0,4804.0,0.0,0.0,5,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,0,Martha E. Diebold Real Estate,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Bartlett Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,0"
27:05:2013,32401.0,0.0,97126.0,0.0,0.0,0.0,0.0,0,0.0,0.0,31,"Sanborn House,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:04:2013,65334.0,19252.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,31,"0,0,0,0,0,0,0,0,0,0"
28:05:2013,39602.0,0.0,2398.0,0.0,0.0,0.0,0.0,1,0.0,0.0,31,"Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,0,New Hampshire Hall"
29:03:2013,39602.0,0.0,0.0,16800.0,2398.0,6000.0,0.0,4,0.0,0.0,31,"Alpha Phi,Alpha Phi,Alpha Phi,Alpha Phi,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,64250.0,0.0,22764.0,0.0,0.0,0.0,0.0,0,0.0,0.0,31,"0,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,78000.0,0.0,0.0,0.0,8400.0,1199.0,0.0,2,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Beta Alpha Omega,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,17724.0,0.0,1475.0,130802.0,8401.0,12000.0,0.0,5,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,The Lodge,Hopkins Center for the Arts,Hanover Inn Valet Lot,New Hampshire Hall,Alpha Phi,Alpha Phi,Alpha Phi,Dartmouth College,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot"
