date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,volunteer,location_names
25:05:2013,38405.0,22379.0,0.0,0.0,0.0,5,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts"
26:04:2013,69605.0,19200.0,1199.0,0.0,1196.0,4,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sarner Underground,Hopkins Center for the Arts"
26:05:2013,53400.0,36000.0,600.0,0.0,0.0,-1,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Haldeman Center,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
27:03:2013,0.0,0.0,13200.0,0.0,0.0,2,2,"The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
27:04:2013,79200.0,4801.0,17999.0,0.0,0.0,5,2,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
27:05:2013,82801.0,16800.0,1199.0,0.0,0.0,0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
28:03:2013,85201.0,2400.0,0.0,0.0,0.0,3,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
28:04:2013,144001.0,1200.0,0.0,0.0,0.0,-1,2,"0,Dartmouth College"
28:05:2013,67799.0,0.0,3001.0,0.0,0.0,1,2,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
29:03:2013,60000.0,16798.0,8401.0,0.0,0.0,4,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
29:04:2013,5999.0,1200.0,0.0,0.0,0.0,0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
29:05:2013,16800.0,0.0,19200.0,4200.0,0.0,2,2,"Dartmouth Co-Op,Dartmouth Co-Op,Dartmouth College,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall"
30:03:2013,82801.0,9600.0,2400.0,0.0,0.0,5,2,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,78000.0,13200.0,0.0,0.0,0.0,1,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
31:03:2013,121199.0,0.0,0.0,2400.0,0.0,-1,2,"0,Ledyard Bridge,Ledyard Bridge,0,Dartmouth College"
