date,home_time,recreational_activities,school_time,shopping,travel_time,working,orthers,date_in_week,volunteer,location_names
13:05:2013,65299.0,1201.0,19191.0,0.0,0.0,0.0,0.0,0,58,"Collis Student Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Collis Student Center,Robinson Hall,Collis Student Center,Hopkins Center for the Arts,Dartmouth College"
14:05:2013,75660.0,4200.0,12050.0,0.0,0.0,0.0,604.0,1,58,"Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Dartmouth College"
15:04:2013,13206.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
15:05:2013,86073.0,1081.0,4196.0,0.0,0.0,0.0,0.0,2,58,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
16:04:2013,68393.0,9612.0,5996.0,0.0,1195.0,0.0,0.0,1,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
16:05:2013,61642.0,0.0,11801.0,0.0,0.0,1860.0,0.0,3,58,"Dartmouth College,Dartmouth College,Webster Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau"
17:04:2013,75600.0,0.0,12004.0,0.0,0.0,0.0,0.0,2,58,"Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
17:05:2013,73503.0,0.0,11399.0,0.0,0.0,2997.0,0.0,4,58,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Bones Gate,Bones Gate,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sanborn House,Robinson Hall,Robinson Hall,Dartmouth College"
18:04:2013,63654.0,0.0,16800.0,0.0,3544.0,0.0,0.0,3,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,82796.0,7269.0,4088.0,0.0,2513.0,0.0,1790.0,5,58,"Starbucks,Starbucks,0,Starbucks,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Left Bank Books,Hanover Post Office Northbound,Nugget Arcade,Dartmouth College"
19:04:2013,48793.0,6000.0,31204.0,0.0,0.0,0.0,0.0,4,58,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Native American House,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
19:05:2013,68026.0,1800.0,3663.0,0.0,9602.0,0.0,0.0,-1,58,"0,0,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
20:04:2013,8291.0,25030.0,10908.0,35997.0,0.0,1204.0,6170.0,5,58,"Dartmouth College,Phi Tau,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Native American House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Roberts Flowers of Hanover,The Dowds' Country Inn & Event Center,Mountainside Chiropractic"
20:05:2013,33142.0,1800.0,45545.0,0.0,0.0,0.0,0.0,0,58,"Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall"
