date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,volunteer,location_names
11:05:2013,50400.0,1168.0,2489.0,1200.0,38375.0,2432.0,0.0,5,47,"Haldeman Center,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Nugget Arcade,0,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College"
12:04:2013,61208.0,0.0,3600.0,7192.0,12000.0,1200.0,0.0,4,47,"Dartmouth College,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Dartmouth College,Dartmouth College,Haldeman Center"
12:05:2013,52753.0,0.0,0.0,0.0,20447.0,2402.0,2398.0,-1,47,"Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College"
13:04:2013,76800.0,1259.0,1200.0,6000.0,5941.0,0.0,0.0,5,47,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Sarner Underground,Sarner Underground,The Tabard,The Tabard,Sigma Alpha Epsilon Fraternity,0,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,44439.0,0.0,0.0,34735.0,5982.0,0.0,0.0,0,47,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,51890.0,0.0,0.0,4800.0,33313.0,0.0,0.0,-1,47,"Silsby Hall,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
14:05:2013,57546.0,3600.0,2400.0,17997.0,4900.0,0.0,0.0,1,47,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hanover High School,Co-Op Food Stores - Hanover,Co-Op Food Stores - Hanover,New Hampshire Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College"
15:04:2013,55197.0,2400.0,0.0,8400.0,12000.0,0.0,0.0,0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Blunt Alumni Center,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Collis Student Center,Buskey Alley,0,Haldeman Center"
15:05:2013,43200.0,0.0,2319.0,28800.0,28881.0,0.0,0.0,2,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Collis Student Center,Collis Student Center,Sudikoff Hall"
16:04:2013,67183.0,0.0,0.0,2309.0,13200.0,2508.0,0.0,1,47,"Haldeman Center,New Hampshire Hall,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Collis Student Center,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
16:05:2013,48000.0,3600.0,1200.0,5938.0,31262.0,0.0,0.0,3,47,"Dartmouth College,0,0,Hopkins Center for the Arts,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity"
17:04:2013,69579.0,0.0,3600.0,4819.0,9602.0,0.0,0.0,2,47,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Haldeman Center"
17:05:2013,52800.0,0.0,0.0,6000.0,10800.0,0.0,0.0,4,47,"Class of 1953 Commons,Class of 1953 Commons,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Wentworth Hall,Sigma Alpha Epsilon Fraternity,McNutt Hall,Collis Student Center,Dartmouth College"
18:04:2013,48000.0,1200.0,1200.0,4863.0,32337.0,0.0,0.0,3,47,"Haldeman Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Collis Student Center,Collis Student Center,McCulloch Hall,Brace Commons,0,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College"
18:05:2013,72653.0,0.0,0.0,3406.0,6000.0,1099.0,0.0,5,47,"Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,South Massachusetts Hall,Dartmouth College,Dartmouth College,Webster Southbound,Dartmouth College,Dartmouth College"
19:04:2013,42292.0,0.0,0.0,19139.0,20387.0,2400.0,0.0,4,47,"Collis Student Center,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Zahm Courtyard,Zahm Courtyard,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,Dartmouth College,Dartmouth College,Haldeman Center"
19:05:2013,66448.0,2400.0,0.0,15601.0,0.0,2399.0,0.0,-1,47,"Class of 1953 Commons,Sarner Underground,Vox Lane Parking Lot,0,0,Heating & Electric Plant,New Hampshire Hall,New Hampshire Hall,Dartmouth College"
20:04:2013,63410.0,6000.0,1200.0,4902.0,10800.0,0.0,0.0,5,47,"Haldeman Center,Dartmouth College,Chi Heorot,New Hampshire Hall,Blunt Alumni Center,Rollins Chapel,0,Bartlett Hall,New Hampshire Hall,Dartmouth College,Collis Student Center,0,0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,New Hampshire Hall"
