date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer,location_names
11:04:2013,61693.0,1201.0,1201.0,19907.0,0.0,0.0,0.0,3,60,"Dartmouth College,Baker Memorial Library,Dartmouth College,CVS Pharmacy,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Sherman House,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Robinson Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Life Sciences Greenhouse"
11:05:2013,0.0,140664.0,0.0,0.0,4477.0,0.0,0.0,5,60,"0,Terminal A,Terminal A,0,0,Terminal A,Terminal A,0"
12:04:2013,34827.0,0.0,0.0,51617.0,0.0,0.0,0.0,4,60,"Dartmouth College,Robinson Hall,Dartmouth College,Wentworth Hall,Dartmouth College,Class of 1953 Commons"
12:05:2013,18600.0,24601.0,0.0,0.0,0.0,0.0,0.0,-1,60,"0,0,0,0,0,0,0,0,0,0,0"
13:04:2013,81584.0,0.0,0.0,3600.0,0.0,1221.0,0.0,5,60,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,8399.0,62466.0,0.0,0.0,0.0,0.0,0.0,0,60,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14:04:2013,32431.0,0.0,23969.0,37239.0,0.0,0.0,0.0,-1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Starbucks"
14:05:2013,10801.0,114844.0,0.0,599.0,0.0,0.0,0.0,1,60,"0,0,0,0,0,Louisiana State University Health Sciences Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terminal Ramp,Terminal Ramp,Terminal Ramp"
15:04:2013,16130.0,0.0,0.0,65962.0,0.0,0.0,0.0,0,60,"Dartmouth College,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Robinson Hall,Dartmouth College,Wentworth Hall,Robinson Hall"
15:05:2013,41493.0,0.0,2397.0,3000.0,0.0,0.0,0.0,2,60,"Dartmouth College,Thornton Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,62184.0,1202.0,0.0,21591.0,1199.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Thel,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,Sudikoff Hall,Morton Hall,0,0,Dartmouth College"
16:05:2013,42032.0,0.0,0.0,42913.0,0.0,0.0,0.0,3,60,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Collis Student Center,Dartmouth College,Dartmouth College"
17:04:2013,68312.0,0.0,0.0,18088.0,0.0,0.0,0.0,2,60,"Robinson Hall,Dartmouth College,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wentworth Hall,Dartmouth College"
17:05:2013,38994.0,0.0,0.0,48015.0,0.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Collis Student Center,Dartmouth College,Class of 1953 Commons,Collis Student Center,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Collis Student Center"
18:04:2013,54080.0,1129.0,9563.0,17957.0,0.0,0.0,1271.0,3,60,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Nugget Arcade,Hanover Park,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,75429.0,0.0,4799.0,4664.0,0.0,2398.0,0.0,5,60,"Dartmouth College,Robinson Hall,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Zeta Psi,Sigma Nu Delta Beta,Rockefeller Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
19:04:2013,61198.0,2496.0,14147.0,8399.0,1105.0,0.0,0.0,4,60,"Dartmouth College,Topliff Courts,Berry Sports Center,Berry Sports Center,Hood Museum of Art,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wentworth Hall,Life Sciences Greenhouse,0,Von Bargen's Jewelry,Boloco,Dartmouth Co-Op,Dartmouth College"
19:05:2013,83465.0,0.0,2778.0,599.0,0.0,0.0,0.0,-1,60,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:04:2013,79122.0,0.0,1199.0,1200.0,0.0,3678.0,0.0,5,60,"Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,40802.0,0.0,2400.0,44415.0,0.0,0.0,0.0,0,60,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Wentworth Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
21:04:2013,81002.0,0.0,2456.0,3600.0,0.0,0.0,0.0,-1,60,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,0,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts"
21:05:2013,60616.0,0.0,4801.0,19524.0,0.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Wentworth Hall,Wheeler Hall,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Dartmouth College"
22:04:2013,52864.0,0.0,0.0,33537.0,0.0,0.0,0.0,0,60,"Collis Student Center,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
22:05:2013,49218.0,0.0,0.0,37805.0,0.0,0.0,0.0,2,60,"Dartmouth College,Robinson Hall,Collis Student Center,Robinson Hall,Collis Student Center,Collis Student Center,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center"
23:04:2013,28250.0,0.0,1174.0,60099.0,0.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Carson Hall,Wentworth Hall,Dartmouth College"
23:05:2013,73579.0,0.0,2400.0,18600.0,0.0,0.0,0.0,3,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Robinson Hall"
24:04:2013,71173.0,0.0,0.0,15600.0,0.0,0.0,0.0,2,60,"Collis Student Center,Robinson Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
24:05:2013,61209.0,0.0,0.0,16199.0,0.0,0.0,0.0,4,60,"Collis Student Center,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College"
25:04:2013,58807.0,0.0,5999.0,16800.0,1199.0,0.0,0.0,3,60,"Hopkins Center for the Arts,Hopkins Center for the Arts,Sanborn House,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall,Maynard Parking Lot,Berry Library,Berry Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education"
25:05:2013,69003.0,0.0,16200.0,600.0,0.0,0.0,0.0,5,60,"Collis Student Center,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College"
26:04:2013,72000.0,0.0,0.0,14400.0,0.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Collis Student Center,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
26:05:2013,73640.0,0.0,3000.0,8999.0,5323.0,0.0,0.0,-1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,South Block Parking Garage,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:03:2013,31201.0,0.0,4798.0,9599.0,0.0,0.0,0.0,2,60,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Reed Hall,Reed Hall,Hopkins Center for the Arts"
