date,home_time,school_time,orthers,recreational_activities,travel_time,date_in_week,volunteer,location_names
27:03:2013,5998.0,8402.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
27:04:2013,0.0,0.0,0.0,184800.0,0.0,5,19,Berry Library
28:03:2013,102003.0,0.0,0.0,5998.0,0.0,3,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
29:03:2013,56401.0,6002.0,0.0,1197.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College"
29:04:2013,50400.0,0.0,0.0,0.0,15600.0,0,19,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College"
29:05:2013,8921.0,0.0,0.0,0.0,0.0,2,19,"Life Sciences Greenhouse,Dartmouth College"
30:03:2013,108002.0,0.0,0.0,0.0,0.0,5,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,242401.0,0.0,0.0,2399.0,0.0,1,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
30:05:2013,1199.0,0.0,0.0,0.0,0.0,3,19,"Dartmouth College,Dartmouth College"
31:03:2013,31312.0,47891.0,0.0,2396.0,0.0,-1,19,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College"
