date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,volunteer,location_names
22:05:2013,32400.0,8400.0,0.0,0.0,0.0,0.0,2,15,"Dartmouth College,Berry Library,Dartmouth College"
23:04:2013,68401.0,0.0,0.0,0.0,0.0,0.0,1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College"
23:05:2013,108210.0,8400.0,0.0,0.0,0.0,0.0,3,15,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,64800.0,32369.0,0.0,0.0,0.0,0.0,2,15,"Berry Library,Berry Library,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Berry Library"
24:05:2013,55201.0,0.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Dartmouth College"
25:04:2013,64829.0,9601.0,0.0,1200.0,0.0,0.0,3,15,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,0"
25:05:2013,174789.0,0.0,0.0,0.0,0.0,0.0,5,15,"Dartmouth College,Dartmouth College"
26:04:2013,261219.0,8403.0,1200.0,0.0,0.0,0.0,4,15,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
27:03:2013,0.0,3599.0,7199.0,0.0,0.0,0.0,2,15,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Library,Berry Library,Carpenter Hall"
27:05:2013,106186.0,0.0,0.0,0.0,0.0,0.0,0,15,"Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College"
28:03:2013,76799.0,4801.0,3601.0,0.0,1200.0,0.0,3,15,"Berry Library,USPS,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:05:2013,129887.0,0.0,0.0,0.0,0.0,0.0,1,15,"Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,62399.0,7199.0,14400.0,3601.0,0.0,0.0,4,15,"Dartmouth College,Dartmouth College,Dartmouth College,Vail,F Lot Parking,F Lot Parking,Berry Library,Berry Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Alumni Gymnasium"
29:04:2013,97287.0,2313.0,0.0,0.0,0.0,0.0,0,15,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Dartmouth College"
29:05:2013,21600.0,7201.0,0.0,0.0,0.0,0.0,2,15,"Berry Library,Life Sciences Greenhouse,Dartmouth College"
30:03:2013,69607.0,6000.0,5999.0,3595.0,0.0,0.0,5,15,"Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Wheeler Hall,Carpenter Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,45600.0,14400.0,1200.0,0.0,0.0,0.0,1,15,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Wheeler Hall"
30:05:2013,57599.0,0.0,0.0,0.0,0.0,0.0,3,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
31:03:2013,74399.0,13200.0,0.0,0.0,0.0,0.0,-1,15,"Hood Museum of Art,Hood Museum of Art,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Berry Library,Dartmouth College"
