date,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,volunteer,location_names
12:05:2013,4228.0,0.0,29118.0,35054.0,7200.0,0.0,-1,15,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Wilder Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Wheeler Hall,Wilder Hall,Wheeler Hall,Wilder Hall"
13:04:2013,1200.0,43184.0,0.0,16800.0,23197.0,0.0,5,15,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Sudikoff Hall"
13:05:2013,38298.0,1201.0,4800.0,36101.0,0.0,0.0,0,15,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Steele Hall,Wheeler Hall,Thel,Berry Library,Berry Library,Dartmouth College,Collis Student Center"
14:04:2013,3599.0,31200.0,8400.0,27600.0,24001.0,0.0,-1,15,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Rollins Chapel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,McCulloch Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,0,Thel,Thel,Berry Library,Berry Library,Sudikoff Hall"
14:05:2013,48397.0,12806.0,0.0,20399.0,3602.0,1196.0,1,15,"Sigma Alpha Epsilon Fraternity,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Wheeler Hall,Wheeler Hall,0,Dartmouth College,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Zahm Courtyard"
15:04:2013,38400.0,0.0,4799.0,22800.0,2401.0,0.0,0,15,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Collis Student Center"
15:05:2013,43197.0,0.0,21434.0,12169.0,10800.0,0.0,2,15,"0,Reed Hall,Casque & Gauntlet Senior Society,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Thornton Hall,Collis Student Center,Dartmouth College,Sudikoff Hall"
16:04:2013,10999.0,36000.0,10601.0,19200.0,9600.0,0.0,1,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Dartmouth College,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Collis Student Center,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center"
16:05:2013,3600.0,0.0,16800.0,64344.0,0.0,0.0,3,15,"Sudikoff Hall,Berry Library,Berry Library,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Wheeler Hall"
17:04:2013,21599.0,27600.0,13200.0,9601.0,15600.0,0.0,2,15,"Sigma Alpha Epsilon Fraternity,Berry Library,Berry Sports Center,Berry Sports Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Hopkins Center for the Arts,Wheeler Hall,Rollins Chapel,Wheeler Hall,Thel,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Rollins Chapel,Rollins Chapel,Thel,0,Berry Library,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Webster Hall"
17:05:2013,69601.0,15599.0,1200.0,7200.0,2400.0,0.0,4,15,"Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Winfred-Raven House,Winfred-Raven House,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Wheeler Hall"
18:04:2013,22799.0,10800.0,14400.0,8400.0,28801.0,0.0,3,15,"Webster Hall,Berry Library,Berry Library,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,The Tabard,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Berry Library,Sigma Alpha Epsilon Fraternity,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,191943.0,0.0,0.0,0.0,0.0,0.0,5,15,Wheeler Hall
19:04:2013,34800.0,7200.0,8400.0,17999.0,21601.0,0.0,4,15,"Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Phi Epsilon,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Wilder Hall,Dartmouth College,Dartmouth College"
20:04:2013,14403.0,53999.0,3600.0,5998.0,12000.0,0.0,5,15,"Dartmouth College,Collis Student Center,0,Hood Museum of Art,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Moore Psychology Building,Dartmouth Outing Club House,Dartmouth Outing Club House,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Bones Gate,Dartmouth College,Collis Student Center,0,Dartmouth College,0,Thel"
20:05:2013,30000.0,0.0,0.0,42000.0,0.0,0.0,0,15,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Collis Student Center,Sudikoff Hall"
21:04:2013,1200.0,26400.0,8400.0,37200.0,40800.0,0.0,-1,15,"0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Wide Babelki Bowl,Berry Library,Berry Library,Sudikoff Hall"
21:05:2013,67200.0,0.0,1201.0,51888.0,0.0,0.0,1,15,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Dartmouth College,Berry Library,Sudikoff Hall"
22:04:2013,20400.0,16800.0,0.0,25200.0,6000.0,0.0,0,15,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Rollins Chapel,Rollins Chapel,Wilder Hall,Rollins Chapel,Rollins Chapel,Richardson Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Richardson Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Sigma Alpha Epsilon Fraternity,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Dartmouth College,Sudikoff Hall"
22:05:2013,19200.0,0.0,8400.0,13202.0,0.0,0.0,2,15,"Sudikoff Hall,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall"
23:04:2013,50401.0,0.0,0.0,9600.0,9600.0,0.0,1,15,"Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Dartmouth College,Collis Student Center,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wilder Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,0.0,0.0,8400.0,10800.0,98610.0,0.0,3,15,"Sudikoff Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity"
24:04:2013,50399.0,0.0,27587.0,13200.0,4800.0,0.0,2,15,"Dartmouth College,Dartmouth College,Winfred-Raven House,Winfred-Raven House,Wheeler Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Berry Library"
24:05:2013,39600.0,0.0,0.0,14400.0,0.0,0.0,4,15,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall"
25:04:2013,2400.0,28800.0,10784.0,10830.0,22799.0,1200.0,3,15,"Berry Library,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Thel,Berry Library,Berry Library,Life Sciences Greenhouse,0"
25:05:2013,1201.0,0.0,0.0,174789.0,0.0,0.0,5,15,"Wheeler Hall,Collis Student Center,Sudikoff Hall"
26:04:2013,21598.0,0.0,198825.0,16800.0,32401.0,1198.0,4,15,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,0"
27:03:2013,8401.0,0.0,0.0,4799.0,0.0,0.0,2,15,"Wheeler Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,101386.0,2400.0,0.0,2400.0,0.0,0.0,0,15,"Sudikoff Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall"
28:03:2013,40800.0,24000.0,2400.0,8400.0,10801.0,0.0,3,15,"Dartmouth College,USPS,Collis Student Center,Thel,Thel,Wheeler Hall,Wheeler Hall,Collis Student Center,Collis Student Center,Wheeler Hall,Thel,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Wheeler Hall,Thel,Sigma Alpha Epsilon Fraternity,Wilder Hall,Thel,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:05:2013,14400.0,0.0,0.0,114287.0,0.0,0.0,1,15,"Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,3599.0,36001.0,15599.0,17998.0,10801.0,3601.0,4,15,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Vail,F Lot Parking,F Lot Parking,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Berry Library,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Thel,Wheeler Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Rollins Chapel,Rollins Chapel,Alumni Gymnasium"
29:04:2013,13245.0,0.0,2313.0,81687.0,1155.0,0.0,0,15,"Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Sudikoff Hall"
29:05:2013,7199.0,0.0,7201.0,14400.0,0.0,0.0,2,15,"Sudikoff Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
30:03:2013,33601.0,39600.0,6000.0,3601.0,2399.0,0.0,5,15,"Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Thel,Thel,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Thel,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Rockefeller Center,Bones Gate,Dartmouth College,Thel,Wheeler Hall,Dartmouth College"
30:04:2013,26400.0,18000.0,14400.0,3600.0,0.0,0.0,1,15,"Sudikoff Hall,Wilder Hall,Wheeler Hall,Hopkins Center for the Arts,Wheeler Hall,Wheeler Hall,Thel,Thel,Berry Library,Berry Library,Sudikoff Hall,Wheeler Hall"
30:05:2013,20400.0,0.0,0.0,6001.0,32399.0,0.0,3,15,"Sudikoff Hall,Winfred-Raven House,Winfred-Raven House,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Sudikoff Hall"
31:03:2013,15601.0,30000.0,13200.0,17998.0,10800.0,0.0,-1,15,"Hood Museum of Art,Hood Museum of Art,Berry Library,Wilder Hall,Thel,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Thel,Berry Library,Berry Library,Thel"
